code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101002439,null,101002439,0,50
1,12,null,null,null,101002901,null,101002901,2688000,50
1,12,null,null,null,101002706,null,101002706,0,50
1,12,null,null,null,101002848,null,101002848,570832,50
1,12,null,null,null,101002970,null,101002970,867440,50
1,12,null,null,null,101003024,null,101003024,588544,50
1,12,null,null,null,101002792,null,101002792,984848,50
1,12,null,null,null,101002417,null,101002417,645348,50
1,12,null,null,null,101003154,null,101003154,654224,50
1,12,null,null,null,101002923,null,101002923,864000,50
1,12,null,null,null,101003111,null,101003111,724576,50
1,12,null,null,null,101001524,null,101001524,0,50
1,12,null,null,null,101002933,null,101002933,474032,50
1,12,null,null,null,101002803,null,101002803,0,50
1,12,null,null,null,101002908,null,101002908,597408,50
1,12,null,null,null,101002876,null,101002876,985928,50
1,12,null,null,null,101003031,null,101003031,1314528,50
1,12,null,null,null,101002830,null,101002830,1750928,50
1,12,null,null,null,101003034,null,101003034,1274640,50
1,12,null,null,null,101003044,null,101003044,984368,50
1,12,null,null,null,101003166,null,101003166,719424,50
1,12,null,null,null,101003105,null,101003105,844656,50
1,12,null,null,null,101003172,null,101003172,634984,50
1,12,null,null,null,101003141,null,101003141,0,50
1,12,null,null,null,101003160,null,101003160,544048,50
1,12,null,null,null,101003140,null,101003140,615904,50
1,12,null,null,null,101003119,null,101003119,900736,50
1,12,null,null,null,101003068,null,101003068,509408,50
1,12,null,null,null,101003171,null,101003171,630880,50
1,12,null,null,null,101003182,null,101003182,391872,50
1,12,null,null,null,101003152,null,101003152,615536,50
1,12,null,null,null,101003191,null,101003191,422400,50
1,12,null,null,null,101003150,null,101003150,719424,50
1,12,null,null,null,101003185,null,101003185,437872,50
1,12,null,null,null,101003046,null,101003046,374768,50
1,12,null,null,null,101003183,null,101003183,341904,50
1,12,null,null,null,101003179,null,101003179,353600,50
1,12,null,null,null,101003184,null,101003184,520396,50
1,12,null,null,null,101003071,null,101003071,1216000,50
1,12,null,null,null,101003135,null,101003135,472928,50
1,12,null,null,null,101003112,null,101003112,316592,50
1,12,null,null,null,101003164,null,101003164,431968,50
1,12,null,null,null,101003181,null,101003181,404928,50
1,12,null,null,null,101003178,null,101003178,0,50
1,12,null,null,null,101003081,null,101003081,0,50
1,12,null,null,null,101003126,null,101003126,723952,50
1,12,null,null,null,101003096,null,101003096,560928,50
1,12,null,null,null,101003145,null,101003145,1232144,50
1,12,null,null,null,101003086,null,101003086,1664000,50
1,12,null,null,null,101003136,null,101003136,1240208,50
1,12,null,null,null,101003148,null,101003148,719424,50
1,12,null,null,null,101003131,null,101003131,523168,50
1,12,null,null,null,101003228,null,101003228,394096,50
1,12,null,null,null,101003220,null,101003220,558288,50
1,12,null,null,null,101003121,null,101003121,348656,50
1,12,null,null,null,101003063,null,101003063,833568,50
1,12,null,null,null,101003129,null,101003129,1379098,50
1,12,null,null,null,101003163,null,101003163,776144,50
1,12,null,null,null,101003035,null,101003035,561392,50
1,12,null,null,null,101003149,null,101003149,545888,50
1,12,null,null,null,101003049,null,101003049,1262928,50
1,12,null,null,null,101003113,null,101003113,0,50
1,12,null,null,null,101003170,null,101003170,719424,50
1,12,null,null,null,101003116,null,101003116,560768,50
1,12,null,null,null,101003142,null,101003142,490272,50
1,12,null,null,null,101003110,null,101003110,539568,50
1,12,null,null,null,101003104,null,101003104,0,50
1,12,null,null,null,101003312,null,101003312,719424,50
1,12,null,null,null,101003032,null,101003032,1322336,50
1,12,null,null,null,101003250,null,101003250,756752,50
1,12,null,null,null,101003217,null,101003217,604992,50
1,12,null,null,null,101003192,null,101003192,607472,50
1,12,null,null,null,101003167,null,101003167,0,50
1,12,null,null,null,101003043,null,101003043,0,50
1,12,null,null,null,101003056,null,101003056,719424,50
1,12,null,null,null,101003144,null,101003144,535664,50
1,12,null,null,null,101003138,null,101003138,521544,50
1,12,null,null,null,101003091,null,101003091,855760,50
1,12,null,null,null,101003064,null,101003064,744992,50
1,12,null,null,null,101003223,null,101003223,662632,50
1,12,null,null,null,101003174,null,101003174,627456,50
1,12,null,null,null,101003216,null,101003216,0,50
1,12,null,null,null,101003225,null,101003225,505552,50
1,12,null,null,null,101003237,null,101003237,54064,50
1,12,null,null,null,101003258,null,101003258,2000112,50
1,12,null,null,null,101003334,null,101003334,1428192,50
1,12,null,null,null,101003209,null,101003209,430528,50
1,12,null,null,null,101003200,null,101003200,617872,50
1,12,null,null,null,101003212,null,101003212,361088,50
1,12,null,null,null,101003259,null,101003259,1258344,50
1,12,null,null,null,101003233,null,101003233,404928,50
1,12,null,null,null,101003193,null,101003193,360560,50
1,12,null,null,null,101003243,null,101003243,0,50
1,12,null,null,null,101003232,null,101003232,570224,50
1,12,null,null,null,101003057,null,101003057,2044400,50
1,12,null,null,null,101002893,null,101002893,324384,50
1,12,null,null,null,101003047,null,101003047,648512,50
1,12,null,null,null,101003077,null,101003077,505760,50
1,12,null,null,null,101003147,null,101003147,626672,50
1,12,null,null,null,101003037,null,101003037,0,50
1,12,null,null,null,101003120,null,101003120,422576,50
1,12,null,null,null,101002820,null,101002820,700296,50
1,12,null,null,null,101003186,null,101003186,411280,50
1,12,null,null,null,101003159,null,101003159,416176,50
